num_res,num_rot,alpha,p,shots,mean_iter,mean_shots,num_qubits
7,2,0.2,1,20,7.0,140.0,14
7,2,0.2,1,25,5.0,125.0,14
7,2,0.2,1,30,4.0,120.0,14
7,2,0.2,1,35,7.0,245.0,14
7,2,0.2,2,15,10.0,150.0,14
7,2,0.2,2,20,2.0,40.0,14
7,2,0.2,2,25,5.0,125.0,14
7,2,0.2,2,30,2.0,60.0,14
7,2,0.2,2,35,5.0,175.0,14
7,2,0.2,3,15,8.0,120.0,14
7,2,0.2,3,20,2.0,40.0,14
7,2,0.2,3,25,2.0,50.0,14
7,2,0.2,3,30,11.0,330.0,14
7,2,0.2,3,35,11.0,385.0,14
7,2,0.2,4,15,2.0,30.0,14
7,2,0.2,4,20,2.0,40.0,14
7,2,0.2,4,25,4.0,100.0,14
7,2,0.2,4,30,5.0,150.0,14
7,2,0.2,4,35,1.0,35.0,14
7,2,0.2,5,15,2.0,30.0,14
7,2,0.2,5,20,3.0,60.0,14
7,2,0.2,5,25,2.0,50.0,14
7,2,0.2,5,30,2.0,60.0,14
7,2,0.2,5,35,2.0,70.0,14
7,2,0.2,6,15,1.0,15.0,14
7,2,0.2,6,20,2.0,40.0,14
7,2,0.2,6,25,2.0,50.0,14
7,2,0.2,6,30,2.0,60.0,14
7,2,0.2,6,35,2.0,70.0,14
7,2,0.2,7,15,3.0,45.0,14
7,2,0.2,7,20,1.0,20.0,14
7,2,0.2,7,25,3.0,75.0,14
7,2,0.2,7,30,2.0,60.0,14
7,2,0.2,7,35,1.0,35.0,14
7,3,0.2,1,10,24.0,240.0,21
7,3,0.2,3,10,9.0,90.0,21
4,3,0.2,1,30,6.0,180.0,12
4,3,0.2,1,35,6.0,210.0,12
4,3,0.2,2,30,4.0,120.0,12
4,3,0.2,2,35,2.0,70.0,12
4,3,0.2,3,30,9.0,270.0,12
4,3,0.2,3,35,17.0,595.0,12
4,3,0.2,4,30,3.0,90.0,12
4,3,0.2,4,35,1.0,35.0,12
4,3,0.2,5,30,1.0,30.0,12
4,3,0.2,5,35,1.0,35.0,12
4,3,0.2,6,30,12.0,360.0,12
4,3,0.2,6,35,11.0,385.0,12
4,3,0.2,7,30,1.0,30.0,12
7,2,0.2,1,15,6.0,90.0,14
7,2,0.2,1,20,2.0,40.0,14
7,2,0.2,1,30,8.0,240.0,14
7,2,0.2,1,35,1.0,35.0,14
7,2,0.2,2,10,2.0,20.0,14
7,2,0.2,2,15,2.0,30.0,14
7,2,0.2,2,20,2.0,40.0,14
7,2,0.2,2,25,2.0,50.0,14
7,2,0.2,2,30,2.0,60.0,14
7,2,0.2,2,35,2.0,70.0,14
7,2,0.2,3,10,14.0,140.0,14
7,2,0.2,3,15,13.0,195.0,14
7,2,0.2,3,20,6.0,120.0,14
7,2,0.2,3,25,3.0,75.0,14
7,2,0.2,3,30,5.0,150.0,14
7,2,0.2,3,35,3.0,105.0,14
7,2,0.2,4,10,31.0,310.0,14
7,2,0.2,4,15,12.0,180.0,14
7,2,0.2,4,20,3.0,60.0,14
7,2,0.2,4,25,10.0,250.0,14
7,2,0.2,4,30,14.0,420.0,14
7,2,0.2,4,35,4.0,140.0,14
7,2,0.2,5,10,3.0,30.0,14
7,2,0.2,5,15,3.0,45.0,14
7,2,0.2,5,20,2.0,40.0,14
7,2,0.2,5,25,2.0,50.0,14
7,2,0.2,5,30,2.0,60.0,14
7,2,0.2,5,35,2.0,70.0,14
7,2,0.2,6,10,18.0,180.0,14
7,2,0.2,6,15,2.0,30.0,14
7,2,0.2,6,20,2.0,40.0,14
7,2,0.2,6,25,2.0,50.0,14
7,2,0.2,6,30,1.0,30.0,14
7,2,0.2,6,35,2.0,70.0,14
7,2,0.2,7,10,2.0,20.0,14
7,2,0.2,7,15,3.0,45.0,14
7,2,0.2,7,20,2.0,40.0,14
7,2,0.2,7,25,2.0,50.0,14
7,2,0.2,7,30,2.0,60.0,14
7,2,0.2,7,35,1.0,35.0,14
7,3,0.2,1,10,8.0,80.0,21
7,3,0.2,1,20,9.0,180.0,21
7,3,0.2,1,25,10.0,250.0,21
7,3,0.2,2,10,21.0,210.0,21
7,3,0.2,2,25,21.0,525.0,21
7,3,0.2,4,10,12.0,120.0,21
7,3,0.2,4,15,11.0,165.0,21
7,3,0.2,4,20,3.0,60.0,21
7,3,0.2,4,25,40.0,1000.0,21
7,3,0.2,5,10,10.0,100.0,21
7,3,0.2,5,20,15.0,300.0,21
7,3,0.2,5,25,27.0,675.0,21
7,3,0.2,6,10,12.0,120.0,21
7,3,0.2,6,15,39.0,585.0,21
7,3,0.2,6,20,11.0,220.0,21
7,3,0.2,6,25,3.0,75.0,21
7,3,0.2,7,10,10.0,100.0,21
7,3,0.2,7,20,39.0,780.0,21
7,3,0.2,7,25,13.0,325.0,21
7,3,0.2,7,30,27.0,810.0,21
6,3,0.2,1,20,6.0,120.0,18
6,3,0.2,1,25,2.0,50.0,18
6,3,0.2,1,30,10.0,300.0,18
